id,text,hash_tag
CfJ6odCPIJ_,손도작고 얼굴도 작고 다작네...🤣#따분#심심#급셀카#근육파열#운동못함#개우울#아프네#욕심부리다가#똥되고있네#이런#슬픔#하루#일과#새벽#비온다#손바닥으로하늘을가리면#가릴수없다,슬픔
CfJ5mQBPpn8,#글 #글그램 #글스타그램 #글귀 #글귀그램 #글귀스타그램 #좋아요 #밤 #밤스타그램 #새벽 #새벽스타그램 #새벽그램 #instadaily #instadiary #이별 #슬픔 #감성 #감성글귀 #공감 #공감글귀 #인간관계 #슬픔글귀 #팔로우 #follow #팔로우미 #follow4followback #following #책 #책스타그램 #마음,슬픔
CfJ4uTrJC1i,".
눈이 퉁퉁 부었다.
침상에 걸터앉아
내리는 빗소리에 따라 울었다.

나에게 돌려주어야 할
슬픔이 이렇게 많은 줄 몰랐다.
비인지 눈물인지
밤이 깊어도 비는 내린다.

아직 7월이 오지 않았는데
예고편처럼 쏟아지는
이 슬픔은 무엇일까?

쏟아지는 빗줄기에
아슬아슬하게 기대어 서서
가슴이 무너진 날을 기억한다.

울어야하는데 목이 부어서
소리를 낼 수 없었던
그 잔인한 기억들을
아직도 잊을 수가 없다.

밤이 너무도 길다.

.
.
.
.
#밤 #빗소리 #슬픔 #예고편 #7월",슬픔
CfJ3bjKpOLk,맞팔부탁드려요 ~,슬픔
CfJ3Sb8h2_M,"ㅋ…. 마지막으로 폰바꾼게 8년전이였더라 😉
사연이 있어서 못바꾼것도 있지만, 안쓰러운 내모습테 민갱춘이 갖고 있던 6S..도 내가 박살내놓고 (걸리면😝) 액정 깨진 폰 쓰는 내가 안쓰러워 폰도 빌려준 서내도.. 그저 미안했습니다 🥲
올해는 꼭! 무슨일이 있더라도 바꾸겠숩니다! 저폰 다시 보는데 꾸르잼 근데 윈터폰인듯 다 윈터사진이네 아고 이뻐라ㅏㅏ 내웬수 💙
.
#iphone #아이폰6 #아이폰쓰는이유 #셀카잘나와서 #😝 #미니로바꿀까 #13? #14? #앱등이로살아야지 #바쓰앤바디웍스 #개추천 #더사올걸 #슬픔 @alchemi.gom 오라방구 보내줄텨? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 런앤런 또 고? 메렁",슬픔
CfJ21nGP3yy,"첫줄
유아우비 런칭기념 이벤트~!!
아땅뜨 우비 50% 할인~!!!
대한민국 최고의 가성비 우비~!!
최고급 tpu 원단~!!
어머님들 가격에 한번 놀라시고 원단에 두번놀라시고 디자인에 세번 놀라시는 그우비 입니다~^_^;;
특수제작 방수지퍼 사용~!!
최고의 디자인~ !!
가성비 최고의 가격~!!!
[어머님들 구매평들이 너무 좋아요~!!^_^v]
아이 안전을 위한 kc인증은 물론 sgs인증까지 완료~!!
런칭 기념 초특가 할인중~!!
조카 선물용으로 최고~!!!!!!
프로필 url 클릭 해서셔 구경 오세요~~!!!
.
.
.
.
.
#유아우비#10월#우비#아동우비#어린이우비#여행#캠핑#휴가#추억#애완
#동물#사랑#행복#슬픔#이별#남친#여친#커플#데이트#취미#자동차#아이템#게임#애니#책#유머#사진#음악#트로트#독서",슬픔
CfJ0_GNvh7y,가장 사랑했던 사람과의 이별은 언제라도 상처로 남는다💧#감성글 #감성글귀 #이별 #가족 #사랑 #사랑글귀 #새벽 #새벽감성 #슬픔 #상처 #상처글귀 #아픔 #아픔글귀,슬픔
CfJzf1oPlMN,"오빠, 우리 둘 중 한 명이 안 태어나고 한 명만 세상에 남았다면 우리는 행복할 수 있었을까. 엄마 아빠의 사랑을 온전히 받으면서. 그럴 수 있었다면 내가 태어나지 말 걸 그랬어. 그리고 우리가 어렸을 적 미국 유학을 갔다면, 아무 문제없이 바로 갔었다면 우린 행복했을까. 오늘 내 바로 옆에서 오빠가 친구랑 통화를 하는 바람에 의도치 않게 다 들어버렸어. 미안해. 내가 우리 가족의 파멸을 가져온 것 같아서. 나도 부모님에게서 벗어나고 싶었지만, 오빠도 얼마나 벗어나고 싶었는지 조금은 알 것 같아. 그런데 내가 이렇게 눈물이 나는 이유는, 우리는 우리 가족은 가족이라는 공동체로 만나면 안되는 사람들이었다는 것을 점차 깨닫고 있다는 거야. 우리는 서로를 증오하고, 싫어하고, 미워하면서 밖에서는 멀쩡한 가족처럼 보이고 싶어 연극을 해. 토 나오고 역겹도록 말이야. 나는 집을 떠나고 싶다는, 가족을 떠나고 싶다는 의도는 숨긴채 오직 꿈을 찾아 유학을 가고 싶은 것처럼 말하고 다니지. 말하지 못하는 이유가 더 많은데. 우리가 지금이라도 그냥 훌쩍 외국으로 떠나버리면 괜찮을까. 오빠가 거기서 나를 증오하게 되진 않을까. 내가 지금도 두려움에 떠는 걸 보면서 오빠는 마음에 들지 않는 것 같던데. 나도 오빠처럼 영어를 잘 했으면 그렇지 않았을거야. 나는 늘 오빠처럼 영어를 잘 하는 사람이 되고 싶었는데. 아마 모르겠지. 내가 겁쟁이, 부족한 아이라서 미안해. 그렇지만 우리 평생 얼굴 안 보고 살지는 말자. 우리 가족은 그냥 만나서는 안되는 사람들끼리 만나서 파괴된 거라고 하자. 나도 떠날 수 있는 여건이 되면 바로 떠나고 싶어. 어떤 나라든 나도 지금 우리 집만 아니면 다 괜찮을 것 같아. 숨이 막힌다는 거 나도 무슨 느낌인지 안다고. 나도 해방되고 싶다고. 너무나도 간절히.",슬픔
CfJv2qBvJvB,".
일기장이 누렇게 바랜 것은 시간이 흘러서가 아니라 종이가 그때의 슬픔을 다 삼켜버렸기 때문이라고 했다.
-환상통, 이희주

#환상통 #이희주 #캘리그라피
.
.
.
✉ 작업문의 DM
.
.
.
🚫 무단도용, 2차가공, 상업적이용, 불펌금지
⚠️ 퍼가실 때는 @simseok_calli 및 #심석캘리 태그를 부탁드립니다
.
.
.
#아이패드 #프로크리에이트 #디지털캘리그라피 #캘리글귀 #캘리 #캘리그라피글귀 #캘리그래피 #손글씨 #붓글씨 #펜글씨 #붓펜캘리 #딥펜캘리 #글귀 #명언 #책 #시 #소설 #에세이 #우울 #일기 #슬픔 #새벽 #글 #취미 #calligraphy #handwriting",슬픔
CfJt4-OP1wi,"6/24
임시휴업입니다😭😭😭

상가누수로 인한 정전이되어
전기공사로 인하여 부득이하게 휴업입니다

#장마시작#머선일#슬픔#고객님죄송해요#",슬픔
CfJtwetJSdB,"memory and sadness.
.
.
.
.🌹🌹
가장 기억에 남는 사람은 나의 연인이었다.
사랑스러운 나의 연인
어디로 사라진지 알수 없는 나의 연인
사랑은 너를 죽음으로 이끌었구나
사랑은 나를 생명으로 이끌었고
기억은 나를 슬프게 만든다
사랑하는 나의 연인이여
어딘가에서 나를 기억해 찾아오길
.🌹🌹
.
.

#장미 #수채화 #그림 #슬픔
#그림스타그램 #낙서 #사랑
#드로잉 #채색 #기억 #취미
#장마 #붉은머리카락 #취미미술#손그림
#글과그림 #창작글 #연인 #낙서스타그램",슬픔
CfJsZ7uvL_i,#명언 #마음을위로하는글 #힐링 #말씀 #그대라면 #생각을움직이는힘 #위로 #자기개발 #힘을주는글 #아픔 #슬픔 #믿음 #소망 #사랑 #갑자기생각난말 #이별 #고통 #행복 #동기부여 #실연 #실패 #성공을이끄는힘 #수필 #시 #문학 #국어,슬픔
CfJr_OKPU2g,".
모든 집착엔 의미가 있다.
시작도 있고, 끝도 있으며.
원인도 있도, 결과도 있다.

다만, 본인만은 그것을 인지하지 못할 뿐이다.

#다시_딱딱해지기

#소통 #시 #이야기 #삶 #슬픔 #기쁨 #감정 #글 #나눔 #시와노래 #감성 #글귀 #사진",슬픔
CfJoTCopM2Q,"사랑은 소나기 같아서,",슬픔
CfJn1xtP9H2,"유튜브 성격분석 티비 오셔서
정말 많은 성격분석 구경하세요

#기쁨#슬픔#분노#즐거움#운세#사주#일일운세#행복#사랑#희망#취업#일상#좋아요#맞팔#instagood#likes#happy#인생#30대#취준#퇴사#선팔#좋아요#싫어요#사주#성격분석#mbti#면접#자기소개#취준#이직#학교#호랑이띠",슬픔
CfJn1CAv7R6,"슬플 때 내 모습 표현해보기!

나이 들면 감정이 메말라져서
크게 기쁘지도 슬쁘지도 않다.

특히
눈물도 메말라서
슬퍼도 그닥 눈물을 흘리지 않는다.
ㆍ
ㆍ
ㆍ

어릴때 유난히 눈물이 많았던 나는 정말 많이 울었던거 같다. 울다가 잠들었던 기억도 난다.
자고 일어나면 어느정도 감정이 해소 되었던것 같다.

요즘도 조금만 감동을 받아도 눈물이 난다.

물론 꺼이꺼이 소리내서 크게 울지는 않지만.
ㆍ
ㆍ
ㆍ
눈물도 기뻐서, 슬퍼서, 서운해서, 감동받아서
등등 각각 의미가 다르다.

왜 슬픈지, 눈물이 나는지만 알아도
어느정도는 해소가 되는것 같다.

일어나는 감정은 잠시 머물다 가는 것이므로 흘러가게 두고 바라보기만 해도 된다.

감정 알아채기!

#감정
#슬픔
#눈물
#법륜스님
#법륜스님과함께하는행복학교
#법륜스님희망편지
#법륜스님온라인행복학교",슬픔
CfJnn9XpXuZ,사라진다는 건 뭘까,슬픔
CfJmldoPl8K,"첫줄
유아우비 런칭기념 이벤트~!!
아땅뜨 우비 50% 할인~!!!
대한민국 최고의 가성비 우비~!!
최고급 tpu 원단~!!
어머님들 가격에 한번 놀라시고 원단에 두번놀라시고 디자인에 세번 놀라시는 그우비 입니다~^_^;;
특수제작 방수지퍼 사용~!!
최고의 디자인~ !!
가성비 최고의 가격~!!!
[어머님들 구매평들이 너무 좋아요~!!^_^v]
아이 안전을 위한 kc인증은 물론 sgs인증까지 완료~!!
런칭 기념 초특가 할인중~!!
조카 선물용으로 최고~!!!!!!
프로필 url 클릭 해서셔 구경 오세요~~!!!
.
.
.
.
.
#유아우비#10월#우비#아동우비#어린이우비#여행#캠핑#휴가#추억#애완#동물#사랑#행복#슬픔#이별#남친#여친#커플#데이트#취미#자동차#아이템#게임#애니#책#유머#사진#음악#트로트#독서",슬픔
CfJmwffpZbp,"한때 나 자신이 너무 작아보이던 때가 있었습니다.
.
스펙도, 학력도, 경력도, 목표도 없었고 연애도, 인간관계도, 꿈도 줄줄이 실패했습니다. 큰 좌절을 겪고 무기력해지다보니 아무것도 하기 싫어지더군요.
.
저는 점점 까칠해졌고, 제게 다가오는 사람은 사라졌습니다. 피해망상과 자격지심에 빠져 매일 '저 사람 나를 무시하나?'라는 생각만 했으니, 얼마나 상종하기 싫었을까요.
.
그렇게 패배자처럼 살던 중, 제 기분을 매일 물어봐주는 사람이 나타났습니다. ""오늘 기분은 어떻냐""는 질문은 제게 점점 생기를 불어넣어줬습니다. 그때 깨달았습니다. 나의 까칠함과 비관이 실은, 나를 알아달라는 미성숙한 표현이었구나. 그리고 내 기분을 스스로 알아차리는 것이 얼마나 중요한지.
.
저처럼 아무것도 하기 싫고, 다 포기해버리고싶은 분들이 계신가요? 막연한 먼 미래는 잠시 접어두고 지금 이 순간에 집중해보세요.
.
오늘 하루 기분은 어떠셨나요?
지금은 기분이 어떠세요?",슬픔
CfJl4EJFW-e,#이별#시#고민#시간#극복#멘탈#공감#슬픔#좋아요#맞팔#선팔#시맛집#글귀#자작시#오늘의시#아픔을위로하는시#그리움#추억#기억#회상#공허#과거#글귀#재회#이별후#그리움#후회#보고싶네#내가 잘할게 #마지막 기회,슬픔
CfJlgWohOYV,"더이상 아무도 사랑하지 않는 나에게 힘쓰지 말자,",슬픔
CfJk7wEP05w,"삶을 나아가다 들어선 동네 골목엔 우리네 추억이 새겨져 있었고, 그 자리에서 헤어 나오지를 못하고 있네요.
_
#시인 #글 #글스타그램 #시 #시스타그램 #자작시 #자작시그램 #자작시스타그램 #감성 #감성글귀 #새벽 #새벽글귀 #위로 #위로글귀 #그리움 #그리움글귀 #추억 #동네 #골목 #삶 #고민 #방황 #슬픔",슬픔
CfJjkf9vU2N,고마웠습니다나의사랑나의추억,슬픔
CfJid1ePb5u,"_

참 어렵다
누군가에게서 물러나야 하는 마음을 어떻게 다를지 아는 것이..

책_빨강머리 앤이 하는 말

#슬픔 #혼자하는사랑 #사랑 #사랑글귀 #사랑해 #이별 #이별중 #이별글귀 #눈물 #씁쓸 #눈물 #혼자하는연애 #가슴아픈사랑 #여전히짝사랑중 #남자친구 #여자친구 #연애 #관계 #기다림 #헤어지는중입니다 #만남 #삼행시 #이별후 #보고싶다 #돌아와",슬픔
CfJhFn8vPvE,"#짧은글 #끄적끄적 #마음 #글귀 #기분 #공감 #위로 #낙서 #새벽감성 #사랑 #이별 #상처 #아픔 #슬픔 #분노
#욕 #사이다 #감성 #갬성 #따스하라",슬픔
CfDyak-BTsW,"아직도 널 사랑하는 내가 싫다

ㅡ",슬픔
CdVkwdWFOJa,"오늘 하루 행복해질 수 있는 마법
@one.zzal
———————————————————
그런 시절이 있기에 너무 멋진 지금이에요!!

.
.
.

#윤여정#뜻밖의여정#이서진#나영석#피디#시상식#드레스#협찬#슬픔#짤#유머 #유머스타그램 #유머저장소 #예능 #좋반 #좋아요반사 #좋아요 #선팔하면맞팔 #선팔 #맞팔 #팔로우 #꿀잼#짤방#웃긴영상#웃긴짤",슬픔
CeVgYoBLmZM,"ㅠㅠㅠㅠ힘들때 보면 진짜 눈물 남....
.
.
.
.
📗책 #모든사람에게사랑받을필요는없다
구매링크는 프로필 하단을 확인해주세요 💚💚
-
-
#베스트셀러 #힘들때 #위로 #위로글 #눈물 #눈물주의 #감동 #슬픔 #찐위로글",슬픔
CfHFKptvj13,"눈물의 바다에 퐁당 빠져버린 하루,
심연의 바닥까지 내려가는 나를 주님의 큰 손으로 잡아주십니다.
💦💦🥹💦💦🤏
주님의 건지심으로 나는 오늘도 살아갑니다.🏃‍♀️🏃

-
시18:16-19

16 그가 높은 곳에서 손을 펴사 나를 붙잡아 주심이여 많은 물에서 나를 건져내셨도다

17 나를 강한 원수와 미워하는 자에게서 건지셨음이여 그들은 나보다 힘이 세기 때문이로다

18 그들이 나의 재앙의 날에 내게 이르렀으나 여호와께서 나의 의지가 되셨도다

19 나를 넓은 곳으로 인도하시고 나를 기뻐하시므로 나를 구원하셨도다
-
재앙의 날에, 두려움이 임할때 우리를 건져주실 주님을 소망합니다🙏
.
.
.
#신앙스타그램 #말씀그림#신앙툰 #신앙만화 #일상 #성령님 #예수님 #하나님 #믿음 #주사랑 #사랑 #기쁨 #평안#기도#묵상#신앙생활 #성경말씀#말씀일러스트#시편 #시편18편 #시편18편16절 #눈물바다에서건지심💦#감사 #아멘🙏",기쁨
CfEE8cOvOau,"한 알의 밀 🌾✨

한 알의 밀이 땅에 떨어져 죽으면
많은 열매를 맺습니다☺️🍇🍒

예수님께서도 주님의 자녀들을 위해
귀하신 목숨을 내어주심으로 말미암아,
많은 사람들이 천국에 갈 수 있게 되었습니다 🙏🏻

그리고, 지금 우리에게 다시 말씀하십니다 ✨🥰

내 생명을 예수님을 위해 기꺼이 내려놓고,
하나님이 쓰시는 사람이 된다면 ✨

주님은 귀한 그 한 사람을 통해 역사하시고,
많은 열매를 맺히도록 인도해주실 것입니다 😊

한 알의 밀알같은, 우리 모두가 되기를 소망합니다 🌾

.
.
.
.
.
.
.
.
.
.
.
#밀알 #열매 #내려놓음 #부인 #자기부인 #생명 #구원 #예수님 #감사 #기쁨 #행복 #성경 #성경말씀 #성경글귀 #성경읽기 #성경묵상 #말씀 #말씀묵상 #말씀배경화면 #말씀일러스트 #말씀스타그램 #말씀나눔 #그리스도인 #예수쟁이 #크리스천 #크리스천그램 #기독교 #기독교명언 #기독교일러스트 #기독교스타그램",기쁨
CfJHeeEvTL2,"생명의 길을 보여주시는 예수님🌱✨

샬롬 😊 장마가 시작되어 비가 많이내리고 있네요 🌧

빗길이 미끄러우니 모두들 조심 또 조심입니다 ☺️💕

오늘 시편 16:11 말씀은
우리가 그리스도인으로서 받을 수 있는
특권에 관해 잘 나와있습니다 ✨

나를 비우고 예수님과 함께 걷는 이 길이,
세상의 눈으로는 힘들고 역행하게 보여도

영원한 즐거움과 충만한 기쁨이 있는 🥰
행복한 길임을 말씀해주고 계십니다🤲🏻

신이신 하나님께서 우리 인간과 동행하여주시고
사랑을 나누기를 원하시고 💓🙏🏻
영원한 천국으로 불러주시기 때문입니다 ❤️

주님이 주신 귀한 기쁨의 축복을
누릴 줄 아는 우리 모두가 되기를 소망합니다 🥰✨

.
.
.
.
.
.
.
#축복 #기쁨 #감사 #생명 #즐거움 #영원 #사랑 #동행 #비 #비소식 #장마 #우산 #우비 #그리스도인 #예수님 #동행 #예수쟁이 #그리스도 #성경 #성경말씀 #성경구절 #말씀 #말씀묵상 #말씀카드 #말씀배경화면 #말씀일러스트 #말씀스타그램 #인생 #인생사진 #소통 #행복",기쁨
CfBe-BAP1BG,"예수께서 오실때에🌙✨

사랑하는 예수님께서, 이 땅에 다시 오실 그때 ☺️

주님의 귀한 보배인 우리들을
하나도 남김없이 모으실 것입니다 🙏🏻🌟

찬송가 564장 예수께서 오실때에는
제가 가장 좋아하는 어린이찬송가에요 🐥❤️

가사 하나, 하나가 정말 아름답고
예수님을 더 사랑하고싶은 마음을 주는 귀한 찬송가입니다 🤗💫

예수님 다시오시는 그날 😊
머지않은 그날,
예수님 품에 폭- 안기고싶습니다💖

사랑합니다 예수님 🙆🏻‍♀️ 마라나타 ✨

.
.
.
.
.
.
.
.
.
#예수님 #예수그리스도 #보배 #마라나타 #구원 #생명 #행복 #영원 #사랑 #별빛 #달빛 #밤하늘 #밤 #달 #별 #사랑 #사랑글귀 #사랑문구 #인생 #인생글귀 #인생명언 #인생문구 #순종 #교회 #교회스타그램 #교회친구 #기쁨 #진리 #동행 #면류관 #천국",기쁨
CfGq6BQvgu5,"올해 2월 인스타에 그림을 다시 게시하며
작년에 1,000팔로워를 목표했었지만 실패했으니
올해는 3,000팔로워를 찍어보자! 라며 막연히 생각했었습니다
그런데 웬걸 생각보다 좋아해주시는 여러분들 덕분에
금방 3,000팔로워를 달성하게됐고 그러면 1만까지 찍어볼까?
라며 생각을 했었네요
.
그렇게 1만이 또 코앞에 왔습니다
구구절절 말이 길었다만 결론은 늘 감사하다는 말입니다
앞으로도 좋은그림 보여드리려 갈고닦겠습니다🙂
.
.
.
.
.
#pleasure #psb #sketchbook #sketch #drawing #draw #digitaldrawing #illust #illustration #ipad #ipaddrawing #croquis #procreate #model #기쁨 #쁨기 #드로잉 #일러스트 #스케치 #스케치북 #아이패드 #크로키 #프로크리에이트 #그림 #그림스타그램 #wip #artwork #아트워크 #감사합니다 #🥰",기쁨
Cdap58Fh4Hz,"가장 위대한 순간🥰
.
.
.
.
#의학#역사상#가장#위대한#순간#대박#영광#기쁨",기쁨
Cd-CCR8vwww,"What lucky thing do you want?

•
•
•

[DON'T FORGET TO FOLLOW ME]
@renebaebae ^_^

-tags-
#irene #joy #seulgi #yeri #wendy #redvelvet #ireneredvelvet #ireneedit #irenebae #reveluv #레드벨벳 #아이린 #기쁨 #웬디 #슬기 #예리 #기쁨 #박수영 #irenefandoms #ireneseulgi #irenefancam #fanpage #koreankpop #kpop #blackpink #follow4followback #follow4like #likeforlikes #followforfollowback #life",기쁨
Cey2DPivZjv,"Irene ♡

•
•
•
•

[DON'T FORGET TO FOLLOW ME]
@irenebae.be ^_^

-tags-
#irene #baechu #joy #seulgi #yeri #wendy #redvelvet #ireneredvelvet #ireneedit #irenebae #reveluv #레드벨벳 #아이린 #기쁨 #웬디 #슬기 #예리 #기쁨 #박수영 #irenefandoms #ireneseulgi #irenefancam #fanpage #koreankpop #kpop #blackpink #follow4followback #follow4like #likeforlikes #followforfollowback #life",기쁨
CetKh9HvTVP,"#오늘의승요 #기쁨 의 #승리포즈
오늘 #엘지트윈스 가 승리를 거두어
두산과 3연전에서 #위닝시리즈 를 가져갑니다!

환희의 순간은
금일 #ktwiz #케이티위즈 에 13:0 으로
승리한 #롯데자이언츠 팬님이 함께하셨습니다
😆😆😆😆😆

#직관 오신 팬님들 고생 많으셨습니다
승요 축하드려요!!!

#잠실의주인 은 누구!!??
바로 #무적엘지트윈스 !!!

#잠실의주인은엘지트윈스
#야구경기
#야구팬
#lgtwins
#korea
#culture",기쁨
CfJ7R7IPHWi,"#서부플로리다한인회 #탬파한인회#재향군인회150명초청한인행사
#구나경무용단#서부플로리다.탬파공연 #성공리개최
#열정#위로와감사#존경#미국우리동포#기쁨#환희
#사천시구나경#발레핏춤아카데미0558521032
#태평무#진도북춤#입춤소고#부채춤#고려의혼구나경교수창작무용",기쁨
CfJ2XKnPlmz,"2022.06.23 - 준식이 출고 앞으로 잘부탁해😍

#bmw #bmwx6 #bmwx6m40i #첫차 #첫차구입 #출고 #촐고샷 #행복 #설렘 #기쁨 #만반잘부 #잘부탁드립니다🙇‍♀️ #잘부탁해🙏",기쁨
CfJyh3jubxZ,"후라이팬에 앞뒤로 구워먹으면 바삭쫀득 너무 맛있는 16가지 곡물쫀디기 건강간식 💛✨

#곡물 #쫀디기 #건강간식 #맛나다 #감사한 #소중한 #목요일 ##감사 #기쁨 #사랑 #평안 #축복 #샬롬 🙏🏼❤️",기쁨
